Recipe ID,Title,Source,Cuisine
1,5 spice vegetable fried rice,TARLA_DALAL,Indian Subcontinent
2,aachar aaloo,TARLA_DALAL,Indian Subcontinent
3,aadu lassan keri nu athanu,TARLA_DALAL,Indian Subcontinent
4,aaloo kofta,TARLA_DALAL,Indian Subcontinent
5,aaloo tamatar subzi,TARLA_DALAL,Indian Subcontinent
6,aalu dum,TARLA_DALAL,Indian Subcontinent
7,aam aur chane ka achaar,TARLA_DALAL,Indian Subcontinent
8,aam ka achaar,TARLA_DALAL,Indian Subcontinent
9,aam ki launji,TARLA_DALAL,Indian Subcontinent
10,aam lassi slush,TARLA_DALAL,Indian Subcontinent
11,aam panna,TARLA_DALAL,Indian Subcontinent
12,aam pyaj aur lauki ki sabzi,TARLA_DALAL,Indian Subcontinent
13,aam ras ki kadhi,TARLA_DALAL,Indian Subcontinent
14,aamabtvaran,TARLA_DALAL,Indian Subcontinent
15,aanar ka raita,TARLA_DALAL,Indian Subcontinent
16,achaari aloo recipe,TARLA_DALAL,Indian Subcontinent
17,achaari dahi bhindi,TARLA_DALAL,Indian Subcontinent
18,achaari dip,TARLA_DALAL,Indian Subcontinent
19,achari baingan,TARLA_DALAL,Indian Subcontinent
20,achari chana pulao,TARLA_DALAL,Indian Subcontinent
21,achari paneer,TARLA_DALAL,Indian Subcontinent
22,achari paneer pulao,TARLA_DALAL,Indian Subcontinent
23,achari paneer tikkas,TARLA_DALAL,Indian Subcontinent
24,ada,TARLA_DALAL,Indian Subcontinent
25,adai or dal dosa,TARLA_DALAL,Indian Subcontinent
26,adrak ka achar,TARLA_DALAL,Indian Subcontinent
27,adraki mushroom,TARLA_DALAL,Indian Subcontinent
28,afghani paneer,TARLA_DALAL,Indian Subcontinent
29,ajwaini roti,TARLA_DALAL,Indian Subcontinent
30,akbari paneer,TARLA_DALAL,Indian Subcontinent
31,akke roti,TARLA_DALAL,Indian Subcontinent
32,akki rotis,TARLA_DALAL,Indian Subcontinent
